is_aml_paper,arxiv_id,found_in_artifacts,num_artifacts,paper_title,paper_authors,paper_pub_date,first_adoption_date,first_adoption_artifact,all_adoptions,adoption_lag_months,G1,G2,G3,G4,G5,G6,T1,T2,Q1
YES,1901.03583,IBM ART,1,Explaining Vulnerabilities of Deep Learning to Adversarial Malware Binaries,Luca Demetrio; Battista Biggio; Giovanni Lagorio; Fabio Roli; Alessandro Armando,2019-01-11,2021-04-07,IBM ART,IBM ART:2021-04-07,26.8,,,,,,,,,
YES,1901.08573,"AutoAttack, RobustBench",2,Theoretically Principled Trade-off between Robustness and Accuracy,Hongyang Zhang; Yaodong Yu; Jiantao Jiao; Eric P. Xing; Laurent El Ghaoui...,2019-01-24,2020-02-17,AutoAttack,RobustBench:2020-06-28; RobustBench:2020-07-03; AutoAttack:2020-02-17,12.8,,,,,,,,,
YES,1901.09960,"AutoAttack, RobustBench",2,Using Pre-Training Can Improve Model Robustness and Uncertainty,Dan Hendrycks; Kimin Lee; Mantas Mazeika,2019-01-28,2020-02-17,AutoAttack,RobustBench:2020-06-28; RobustBench:2020-07-03; RobustBench:2020-07-03; AutoAttack:2020-02-17,12.6,,,,,,,,,
YES,1901.11196,TextAttack,1,EDA: Easy Data Augmentation Techniques for Boosting Performance on Text Classification Tasks,Jason Wei; Kai Zou,2019-01-31,2020-05-07,TextAttack,TextAttack:2020-05-07,15.2,,,,,,,,,
YES,1902.01889,CleverHans,1,Analyzing and Improving Representations with the Soft Nearest Neighbor Loss,Nicholas Frosst; Nicolas Papernot; Geoffrey Hinton,2019-02-05,2018-06-11,CleverHans,CleverHans:2018-06-11; CleverHans:2019-02-16; CleverHans:2019-02-16,-7.9,,,,,,,,,
YES,1902.02918,"IBM ART, RobustBench",2,Certified Adversarial Robustness via Randomized Smoothing,Jeremy M Cohen; Elan Rosenfeld; J. Zico Kolter,2019-02-08,2019-07-16,IBM ART,IBM ART:2019-07-16; IBM ART:2020-11-24; IBM ART:2020-05-08; IBM ART:2020-05-08; RobustBench:2020-06-28,5.2,,,,,,,,,
YES,1902.06531,IBM ART,1,STRIP: A Defence Against Trojan Attacks on Deep Neural Networks,Yansong Gao; Chang Xu; Derui Wang; Shiping Chen; Damith C. Ranasinghe...,2019-02-18,2020-10-07,IBM ART,IBM ART:2020-10-07; IBM ART:2020-10-13,19.6,,,,,,,,,
YES,1902.06705,"AutoAttack, IBM ART, RobustBench",3,On Evaluating Adversarial Robustness,Nicholas Carlini; Anish Athalye; Nicolas Papernot; Wieland Brendel; Jonas Rauber...,2019-02-18,2018-02-23,IBM ART,IBM ART:2018-08-01; IBM ART:2020-06-03; IBM ART:2018-10-23; IBM ART:2018-03-20; IBM ART:2018-02-27; IBM ART:2018-08-22; IBM ART:2020-04-30; IBM ART:2019-03-12; IBM ART:2018-02-27; IBM ART:2020-07-23; IBM ART:2018-03-20; IBM ART:2020-06-03; IBM ART:2018-03-20; IBM ART:2020-06-03; IBM ART:2018-02-27; IBM ART:2018-03-20; IBM ART:2022-09-14; IBM ART:2022-09-14; IBM ART:2018-03-20; IBM ART:2018-03-20; IBM ART:2018-03-20; IBM ART:2022-10-19; IBM ART:2022-10-19; IBM ART:2022-10-19; IBM ART:2020-02-19; IBM ART:2018-02-23; IBM ART:2019-11-08; IBM ART:2019-11-08; RobustBench:2020-06-28; AutoAttack:2021-08-31,-11.8,,,,,,,,,
YES,1902.07906,IBM ART,1,Wasserstein Adversarial Examples via Projected Sinkhorn Iterations,Eric Wong; Frank R. Schmidt; J. Zico Kolter,2019-02-21,2017-11-28,IBM ART,IBM ART:2017-11-28,-14.8,,,,,,,,,
YES,1902.08295,CleverHans,1,Lingvo: a Modular and Scalable Framework for Sequence-to-Sequence Modeling,Jonathan Shen; Patrick Nguyen; Yonghui Wu; Zhifeng Chen; Mia X. Chen...,2019-02-21,2019-06-05,CleverHans,CleverHans:2019-06-05,3.4,,,,,,,,,
YES,1902.08722,RobustBench,1,A Convex Relaxation Barrier to Tight Robustness Verification of Neural Networks,Hadi Salman; Greg Yang; Huan Zhang; Cho-Jui Hsieh; Pengchuan Zhang,2019-02-23,2020-06-28,RobustBench,RobustBench:2020-06-28,16.1,,,,,,,,,
YES,1903.10346,IBM ART,1,"Imperceptible, Robust, and Targeted Adversarial Examples for Automatic Speech Recognition",Yao Qin; Nicholas Carlini; Ian Goodfellow; Garrison Cottrell; Colin Raffel,2019-03-22,2018-09-26,IBM ART,IBM ART:2018-09-26,-5.8,,,,,,,,,
YES,1904.00887,"AutoAttack, RobustBench",2,Adversarial Defense by Restricting the Hidden Space of Deep Neural Networks,Aamir Mustafa; Salman Khan; Munawar Hayat; Roland Goecke; Jianbing Shen...,2019-04-01,2020-02-17,AutoAttack,RobustBench:2020-07-03; AutoAttack:2020-02-17,10.6,,,,,,,,,
YES,1904.02144,"CleverHans, Foolbox, IBM ART",3,HopSkipJumpAttack: A Query-Efficient Decision-Based Attack,Jianbo Chen; Michael I. Jordan; Martin J. Wainwright,2019-04-03,2017-06-01,IBM ART,CleverHans:2019-04-11; CleverHans:2020-05-06; IBM ART:2017-06-01; Foolbox:2020-08-29,-22.0,,,,,,,,,
YES,1904.09675,TextAttack,1,BERTScore: Evaluating Text Generation with BERT,Tianyi Zhang; Varsha Kishore; Felix Wu; Kilian Q. Weinberger; Yoav Artzi,2019-04-21,2020-06-22,TextAttack,TextAttack:2020-06-22,14.1,,,,,,,,,
YES,1904.11042,IBM ART,1,Physical Adversarial Textures that Fool Visual Object Tracking,Rey Reza Wiyatno; Anqi Xu,2019-04-24,2021-10-07,IBM ART,IBM ART:2021-10-07,29.5,,,,,,,,,
YES,1904.12843,"AutoAttack, RobustBench",2,Adversarial Training for Free!,Ali Shafahi; Mahyar Najibi; Amin Ghiasi; Zheng Xu; John Dickerson...,2019-04-29,2020-02-17,AutoAttack,RobustBench:2020-07-03; AutoAttack:2020-02-17,9.7,,,,,,,,,
YES,1904.13000,"CleverHans, Foolbox",2,Adversarial Training and Robustness for Multiple Perturbations,Florian Tramèr; Dan Boneh,2019-04-30,2019-04-20,CleverHans,CleverHans:2019-04-20; CleverHans:2021-03-18; Foolbox:2020-02-23,-0.3,,,,,,,,,
YES,1905.00877,"AutoAttack, RobustBench",2,You Only Propagate Once: Accelerating Adversarial Training via Maximal Principle,Dinghuai Zhang; Tianyuan Zhang; Yiping Lu; Zhanxing Zhu; Bin Dong,2019-05-02,2020-02-17,AutoAttack,RobustBench:2020-06-28; RobustBench:2020-07-03; AutoAttack:2020-02-17,9.6,,,,,,,,,
YES,1905.01034,RobustBench,1,Transfer of Adversarial Robustness Between Perturbation Types,Daniel Kang; Yi Sun; Tom Brown; Dan Hendrycks; Jacob Steinhardt,2019-05-03,2020-06-28,RobustBench,RobustBench:2020-06-28,13.9,,,,,,,,,
YES,1905.04899,IBM ART,1,CutMix: Regularization Strategy to Train Strong Classifiers with Localizable Features,Sangdoo Yun; Dongyoon Han; Seong Joon Oh; Sanghyuk Chun; Junsuk Choe...,2019-05-13,2018-03-20,IBM ART,IBM ART:2018-03-20; IBM ART:2018-03-20; IBM ART:2018-03-20,-13.8,,,,,,,,,
YES,1905.05186,"AutoAttack, RobustBench",2,Harnessing the Vulnerability of Latent Layers in Adversarially Trained Models,Mayank Singh; Abhishek Sinha; Nupur Kumari; Harshitha Machiraju; Balaji Krishnamurthy...,2019-05-13,2020-02-17,AutoAttack,RobustBench:2020-07-03; AutoAttack:2020-02-17,9.2,,,,,,,,,
YES,1905.07121,IBM ART,1,Simple Black-box Adversarial Attacks,Chuan Guo; Jacob R. Gardner; Yurong You; Andrew Gordon Wilson; Kilian Q. Weinberger,2019-05-17,2020-01-31,IBM ART,IBM ART:2020-01-31; IBM ART:2020-02-09,8.5,,,,,,,,,
YES,1905.10510,"AutoAttack, RobustBench",2,Enhancing Adversarial Defense by k-Winners-Take-All,Chang Xiao; Peilin Zhong; Changxi Zheng,2019-05-25,2020-02-17,AutoAttack,RobustBench:2020-07-03; AutoAttack:2020-02-17,8.8,,,,,,,,,
YES,1905.10626,"AutoAttack, RobustBench",2,Rethinking Softmax Cross-Entropy Loss for Adversarial Robustness,Tianyu Pang; Kun Xu; Yinpeng Dong; Chao Du; Ning Chen...,2019-05-25,2020-02-17,AutoAttack,RobustBench:2020-07-03; AutoAttack:2020-02-17,8.8,,,,,,,,,
YES,1905.11268,TextAttack,1,Combating Adversarial Misspellings with Robust Word Recognition,Danish Pruthi; Bhuwan Dhingra; Zachary C. Lipton,2019-05-27,2019-10-11,TextAttack,TextAttack:2020-07-06; TextAttack:2019-10-11; TextAttack:2019-10-11; TextAttack:2021-06-17; TextAttack:2020-11-14,4.5,,,,,,,,,
YES,1905.11911,"AutoAttack, RobustBench",2,Controlling Neural Level Sets,Matan Atzmon; Niv Haim; Lior Yariv; Ofer Israelov; Haggai Maron...,2019-05-28,2020-02-17,AutoAttack,RobustBench:2020-07-03; AutoAttack:2020-02-17,8.7,,,,,,,,,
YES,1905.13409,IBM ART,1,Bypassing Backdoor Detection Algorithms in Deep Learning,Te Juin Lester Tan; Reza Shokri,2019-05-31,2018-08-01,IBM ART,IBM ART:2018-08-01; IBM ART:2020-05-07; IBM ART:2020-08-17,-10.0,,,,,,,,,
YES,1905.13725,"AutoAttack, RobustBench",2,Are Labels Required for Improving Adversarial Robustness?,Jonathan Uesato; Jean-Baptiste Alayrac; Po-Sen Huang; Robert Stanforth; Alhussein Fawzi...,2019-05-31,2020-02-17,AutoAttack,RobustBench:2020-07-03; AutoAttack:2020-02-17,8.6,,,,,,,,,
YES,1905.13736,"AutoAttack, RobustBench",2,Unlabeled Data Improves Adversarial Robustness,Yair Carmon; Aditi Raghunathan; Ludwig Schmidt; Percy Liang; John C. Duchi,2019-05-31,2020-02-17,AutoAttack,RobustBench:2020-06-28; RobustBench:2020-07-03; AutoAttack:2020-02-17,8.6,,,,,,,,,
YES,1906.00945,RobustBench,1,Adversarial Robustness as a Prior for Learned Representations,Logan Engstrom; Andrew Ilyas; Shibani Santurkar; Dimitris Tsipras; Brandon Tran...,2019-06-03,2020-06-28,RobustBench,RobustBench:2020-06-28,12.8,,,,,,,,,
YES,1906.03849,IBM ART,1,Robustness Verification of Tree-based Models,Hongge Chen; Huan Zhang; Si Si; Yang Li; Duane Boning...,2019-06-10,2019-08-09,IBM ART,IBM ART:2019-08-09,2.0,,,,,,,,,
YES,1906.04584,IBM ART,1,Provably Robust Deep Learning via Adversarially Trained Smoothed Classifiers,Hadi Salman; Greg Yang; Jerry Li; Pengchuan Zhang; Huan Zhang...,2019-06-09,2022-05-21,IBM ART,IBM ART:2022-05-21; IBM ART:2023-07-06,35.4,,,,,,,,,
YES,1906.06026,IBM ART,1,Adversarial Robustness Assessment: Why both $L_0$ and $L_\infty$ Attacks Are Necessary,Shashank Kotyan; Danilo Vasconcellos Vargas,2019-06-14,2020-02-09,IBM ART,IBM ART:2020-02-09; IBM ART:2020-02-09; IBM ART:2020-02-09,7.9,,,,,,,,,
YES,1906.06316,"AutoAttack, RobustBench",2,Towards Stable and Efficient Training of Verifiably Robust Neural Networks,Huan Zhang; Hongge Chen; Chaowei Xiao; Sven Gowal; Robert Stanforth...,2019-06-14,2020-02-17,AutoAttack,RobustBench:2020-06-28; RobustBench:2021-07-14; AutoAttack:2020-02-17,8.1,,,,,,,,,
YES,1906.07153,RobustBench,1,Adversarial attacks on Copyright Detection Systems,Parsa Saadatpanah; Ali Shafahi; Tom Goldstein,2019-06-17,2020-06-28,RobustBench,RobustBench:2020-06-28,12.4,,,,,,,,,
YES,1906.08988,RobustBench,1,A Fourier Perspective on Model Robustness in Computer Vision,Dong Yin; Raphael Gontijo Lopes; Jonathon Shlens; Ekin D. Cubuk; Justin Gilmer,2019-06-21,2020-06-28,RobustBench,RobustBench:2020-06-28,12.3,,,,,,,,,
YES,1906.11897,IBM ART,1,On Physical Adversarial Patches for Object Detection,Mark Lee; Zico Kolter,2019-06-20,2020-11-17,IBM ART,IBM ART:2020-11-17,17.0,,,,,,,,,
YES,1907.01003,"Foolbox, IBM ART",2,"Accurate, reliable and fast robustness evaluation",Wieland Brendel; Jonas Rauber; Matthias Kümmerer; Ivan Ustyuzhaninov; Matthias Bethge,2019-07-01,2020-01-03,Foolbox,IBM ART:2020-09-25; Foolbox:2020-01-03,6.1,,,,,,,,,
YES,1907.02044,AutoAttack,1,Minimally distorted Adversarial Examples with a Fast Adaptive Boundary Attack,Francesco Croce; Matthias Hein,2019-07-03,2020-02-17,AutoAttack,AutoAttack:2020-02-17; AutoAttack:2020-02-17; AutoAttack:2020-02-17; AutoAttack:2020-02-17,7.5,,,,,,,,,
YES,1907.02610,"AutoAttack, RobustBench",2,Adversarial Robustness through Local Linearization,Chongli Qin; James Martens; Sven Gowal; Dilip Krishnan; Krishnamurthy Dvijotham...,2019-07-04,2020-02-17,AutoAttack,RobustBench:2020-07-03; AutoAttack:2020-02-17,7.5,,,,,,,,,
YES,1907.11932,TextAttack,1,Is BERT Really Robust? A Strong Baseline for Natural Language Attack on Text Classification and Entailment,Di Jin; Zhijing Jin; Joey Tianyi Zhou; Peter Szolovits,2019-07-27,2019-10-11,TextAttack,TextAttack:2019-12-01; TextAttack:2019-11-10; TextAttack:2019-10-28; TextAttack:2019-10-11; TextAttack:2019-10-11; TextAttack:2021-06-17; TextAttack:2020-11-14; TextAttack:2021-05-02,2.5,,,,,,,,,
YES,1909.00986,TextAttack,1,Certified Robustness to Adversarial Word Substitutions,Robin Jia; Aditi Raghunathan; Kerem Göksel; Percy Liang,2019-09-03,2019-10-11,TextAttack,TextAttack:2020-06-28; TextAttack:2019-10-11; TextAttack:2019-10-11; TextAttack:2021-06-17; TextAttack:2020-11-14,1.2,,,,,,,,,
YES,1909.01838,IBM ART,1,High Accuracy and High Fidelity Extraction of Neural Networks,Matthew Jagielski; Nicholas Carlini; David Berthelot; Alex Kurakin; Nicolas Papernot,2019-09-03,2019-12-05,IBM ART,IBM ART:2019-12-05,3.1,,,,,,,,,
YES,1909.02560,TextAttack,1,Robustness to Modification with Shared Words in Paraphrase Identification,Zhouxing Shi; Minlie Huang,2019-09-05,2020-06-19,TextAttack,TextAttack:2020-06-19,9.5,,,,,,,,,
YES,1909.06723,TextAttack,1,Natural Language Adversarial Defense through Synonym Encoding,Xiaosen Wang; Hao Jin; Yichen Yang; Kun He,2019-09-15,2019-10-11,TextAttack,TextAttack:2019-11-10; TextAttack:2019-10-24; TextAttack:2019-10-11; TextAttack:2019-10-11; TextAttack:2021-06-17; TextAttack:2020-11-14,0.9,,,,,,,,,
YES,1909.08723,IBM ART,1,Espresso: A Fast End-to-end Neural Speech Recognition Toolkit,Yiming Wang; Tongfei Chen; Hainan Xu; Shuoyang Ding; Hang Lv...,2019-09-18,2020-03-07,IBM ART,IBM ART:2020-03-07,5.6,,,,,,,,,
YES,1909.10773,IBM ART,1,Sign-OPT: A Query-Efficient Hard-label Adversarial Attack,Minhao Cheng; Simranjit Singh; Patrick Chen; Pin-Yu Chen; Sijia Liu...,2019-09-24,2022-06-04,IBM ART,IBM ART:2022-06-04,32.3,,,,,,,,,
YES,1909.11764,RobustBench,1,FreeLB: Enhanced Adversarial Training for Natural Language Understanding,Chen Zhu; Yu Cheng; Zhe Gan; Siqi Sun; Tom Goldstein...,2019-09-25,2020-06-28,RobustBench,RobustBench:2020-06-28,9.1,,,,,,,,,
YES,1910.00033,IBM ART,1,Hidden Trigger Backdoor Attacks,Aniruddha Saha; Akshayvarun Subramanya; Hamed Pirsiavash,2019-09-30,2022-01-14,IBM ART,IBM ART:2022-01-14; IBM ART:2022-01-14; IBM ART:2022-01-14,27.5,,,,,,,,,
YES,1910.08640,RobustBench,1,Are Perceptually-Aligned Gradients a General Property of Robust Classifiers?,Simran Kaur; Jeremy Cohen; Zachary C. Lipton,2019-10-18,2020-06-28,RobustBench,RobustBench:2020-06-28,8.3,,,,,,,,,
YES,1911.03274,IBM ART,1,Imperceptible Adversarial Attacks on Tabular Data,Vincent Ballet; Xavier Renard; Jonathan Aigrain; Thibault Laugel; Pascal Frossard...,2019-11-08,2021-04-23,IBM ART,IBM ART:2021-04-23,17.5,,,,,,,,,
YES,1911.06502,IBM ART,1,Simple iterative method for generating targeted universal adversarial perturbations,Hokuto Hirano; Kazuhiro Takemoto,2019-11-15,2017-06-07,IBM ART,IBM ART:2017-06-07; IBM ART:2017-06-07,-29.3,,,,,,,,,
YES,1911.09665,RobustBench,1,Adversarial Examples Improve Image Recognition,Cihang Xie; Mingxing Tan; Boqing Gong; Jiang Wang; Alan Yuille...,2019-11-21,2020-06-28,RobustBench,RobustBench:2020-06-28,7.2,,,,,,,,,
YES,1912.00049,"AutoAttack, IBM ART",2,Square Attack: a query-efficient black-box adversarial attack via random search,Maksym Andriushchenko; Francesco Croce; Nicolas Flammarion; Matthias Hein,2019-11-29,2019-11-08,IBM ART,IBM ART:2019-11-08; AutoAttack:2020-02-17; AutoAttack:2020-02-17,-0.7,,,,,,,,,
YES,1912.02781,RobustBench,1,AugMix: A Simple Data Processing Method to Improve Robustness and Uncertainty,Dan Hendrycks; Norman Mu; Ekin D. Cubuk; Barret Zoph; Justin Gilmer...,2019-12-05,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2021-02-12; RobustBench:2021-02-12; RobustBench:2021-02-12; RobustBench:2021-02-12; RobustBench:2021-02-12,6.8,,,,,,,,,
YES,1912.10185,"AutoAttack, RobustBench",2,Jacobian Adversarially Regularized Networks for Robustness,Alvin Chan; Yi Tay; Yew Soon Ong; Jie Fu,2019-12-21,2020-02-17,AutoAttack,RobustBench:2020-07-03; AutoAttack:2020-02-17,1.9,,,,,,,,,
YES,2001.02378,IBM ART,1,MACER: Attack-free and Scalable Robust Training via Maximizing Certified Radius,Runtian Zhai; Chen Dan; Di He; Huan Zhang; Boqing Gong...,2020-01-08,2022-05-21,IBM ART,IBM ART:2022-05-21; IBM ART:2023-07-06,28.4,,,,,,,,,
YES,2001.03994,"AutoAttack, RobustBench",2,Fast is better than free: Revisiting adversarial training,Eric Wong; Leslie Rice; J. Zico Kolter,2020-01-12,2020-02-17,AutoAttack,RobustBench:2020-06-28; RobustBench:2020-07-03; RobustBench:2020-07-03; AutoAttack:2020-02-17,1.2,,,,,,,,,
YES,2002.05123,IBM ART,1,Over-the-Air Adversarial Flickering Attacks against Video Recognition Networks,Roi Pony; Itay Naeh; Shie Mannor,2020-02-12,2021-05-13,IBM ART,IBM ART:2021-05-13,15.0,,,,,,,,,
YES,2002.07088,IBM ART,1,GRAPHITE: Generating Automatic Physical Examples for Machine-Learning Attacks on Computer Vision Systems,Ryan Feng; Neal Mangaokar; Jiefeng Chen; Earlence Fernandes; Somesh Jha...,2020-02-17,2022-06-28,IBM ART,IBM ART:2022-06-28; IBM ART:2022-06-28; IBM ART:2022-06-28,28.3,,,,,,,,,
YES,2002.08347,"AutoAttack, RobustBench",2,On Adaptive Attacks to Adversarial Example Defenses,Florian Tramer; Nicholas Carlini; Wieland Brendel; Aleksander Madry,2020-02-19,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2020-07-03; AutoAttack:2021-08-31,4.3,,,,,,,,,
YES,2002.08619,"AutoAttack, RobustBench",2,Boosting Adversarial Training with Hypersphere Embedding,Tianyu Pang; Xiao Yang; Yinpeng Dong; Kun Xu; Jun Zhu...,2020-02-20,2020-02-17,AutoAttack,RobustBench:2020-06-28; RobustBench:2020-07-03; AutoAttack:2020-02-17,-0.1,,,,,,,,,
YES,2002.10319,"AutoAttack, RobustBench",2,Self-Adaptive Training: beyond Empirical Risk Minimization,Lang Huang; Chao Zhang; Hongyang Zhang,2020-02-24,2020-02-17,AutoAttack,RobustBench:2020-06-28; RobustBench:2020-07-11; AutoAttack:2020-02-17,-0.2,,,,,,,,,
YES,2002.10509,RobustBench,1,HYDRA: Pruning Adversarially Robust Neural Networks,Vikash Sehwag; Shiqi Wang; Prateek Mittal; Suman Jana,2020-02-24,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2020-07-03,4.1,,,,,,,,,
YES,2002.10733,IBM ART,1,(De)Randomized Smoothing for Certifiable Defense against Patch Attacks,Alexander Levine; Soheil Feizi,2020-02-25,2019-05-02,IBM ART,IBM ART:2022-05-21; IBM ART:2022-05-18; IBM ART:2019-05-02; IBM ART:2022-05-18,-9.8,,,,,,,,,
YES,2002.11242,"AutoAttack, RobustBench",2,Attacks Which Do Not Kill Training Make Adversarial Learning Stronger,Jingfeng Zhang; Xilie Xu; Bo Han; Gang Niu; Lizhen Cui...,2020-02-26,2020-02-17,AutoAttack,RobustBench:2020-06-28; RobustBench:2020-09-02; AutoAttack:2020-02-17,-0.3,,,,,,,,,
YES,2002.11569,"AutoAttack, RobustBench",2,Overfitting in adversarially robust deep learning,Leslie Rice; Eric Wong; J. Zico Kolter,2020-02-26,2020-02-17,AutoAttack,RobustBench:2020-06-28; RobustBench:2020-07-03; RobustBench:2020-07-03; RobustBench:2020-07-03; AutoAttack:2020-02-17,-0.3,,,,,,,,,
YES,2003.01690,"AutoAttack, IBM ART, RobustBench",3,Reliable evaluation of adversarial robustness with an ensemble of diverse parameter-free attacks,Francesco Croce; Matthias Hein,2020-03-03,2019-11-08,IBM ART,IBM ART:2019-11-08; IBM ART:2019-11-08; RobustBench:2020-06-28; AutoAttack:2021-03-02; AutoAttack:2021-08-31; AutoAttack:2020-02-17,-3.8,,,,,,,,,
YES,2003.04286,"AutoAttack, RobustBench",2,Manifold Regularization for Locally Stable Deep Neural Networks,Charles Jin; Martin Rinard,2020-03-09,2020-02-17,AutoAttack,RobustBench:2020-07-03; AutoAttack:2020-02-17,-0.7,,,,,,,,,
YES,2003.06468,IBM ART,1,GeoDA: a geometric framework for black-box adversarial attacks,Ali Rahmati; Seyed-Mohsen Moosavi-Dezfooli; Pascal Frossard; Huaiyu Dai,2020-03-13,2021-03-27,IBM ART,IBM ART:2021-03-27,12.5,,,,,,,,,
YES,2003.08937,IBM ART,1,Breaking certified defenses: Semantic adversarial examples with spoofed robustness certificates,Amin Ghiasi; Ali Shafahi; Tom Goldstein,2020-03-19,2020-05-09,IBM ART,IBM ART:2020-05-09,1.7,,,,,,,,,
YES,2003.09347,RobustBench,1,SAT: Improving Adversarial Training via Curriculum-Based Loss Smoothing,Chawin Sitawarin; Supriyo Chakraborty; David Wagner,2020-03-18,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2021-02-16; RobustBench:2021-02-16,3.4,,,,,,,,,
YES,2003.09461,"AutoAttack, RobustBench",2,Adversarial Robustness on In- and Out-Distribution Improves Explainability,Maximilian Augustin; Alexander Meinke; Matthias Hein,2020-03-20,2020-02-17,AutoAttack,RobustBench:2021-01-14; RobustBench:2020-06-28; RobustBench:2020-09-03; RobustBench:2020-09-03; RobustBench:2020-09-03; AutoAttack:2020-02-17,-1.1,,,,,,,,,
YES,2003.12862,"AutoAttack, RobustBench",2,Adversarial Robustness: From Self-Supervised Pre-Training to Fine-Tuning,Tianlong Chen; Sijia Liu; Shiyu Chang; Yu Cheng; Lisa Amini...,2020-03-28,2020-02-17,AutoAttack,RobustBench:2020-06-28; RobustBench:2020-07-03; AutoAttack:2020-02-17,-1.3,,,,,,,,,
YES,2004.01970,TextAttack,1,BAE: BERT-based Adversarial Examples for Text Classification,Siddhant Garg; Goutham Ramakrishnan,2020-04-04,2019-10-11,TextAttack,TextAttack:2020-06-19; TextAttack:2020-06-28; TextAttack:2019-10-11; TextAttack:2019-10-11; TextAttack:2021-06-17; TextAttack:2020-11-14,-5.8,,,,,,,,,
YES,2004.05884,"AutoAttack, RobustBench",2,Adversarial Weight Perturbation Helps Robust Generalization,Dongxian Wu; Shu-tao Xia; Yisen Wang,2020-04-13,2020-02-17,AutoAttack,RobustBench:2020-06-28; RobustBench:2020-10-22; RobustBench:2020-10-22; RobustBench:2020-10-22; RobustBench:2020-10-22; AutoAttack:2020-02-17,-1.8,,,,,,,,,
YES,2004.09984,TextAttack,1,BERT-ATTACK: Adversarial Attack Against BERT Using BERT,Linyang Li; Ruotian Ma; Qipeng Guo; Xiangyang Xue; Xipeng Qiu,2020-04-21,2019-10-11,TextAttack,TextAttack:2020-06-19; TextAttack:2020-06-28; TextAttack:2019-10-11; TextAttack:2019-10-11; TextAttack:2021-06-17; TextAttack:2020-11-14,-6.3,,,,,,,,,
YES,2004.10934,RobustBench,1,YOLOv4: Optimal Speed and Accuracy of Object Detection,Alexey Bochkovskiy; Chien-Yao Wang; Hong-Yuan Mark Liao,2020-04-23,2020-06-28,RobustBench,RobustBench:2020-06-28,2.2,,,,,,,,,
YES,2004.14174,TextAttack,1,Reevaluating Adversarial Examples in Natural Language,John X. Morris; Eli Lifland; Jack Lanchantin; Yangfeng Ji; Yanjun Qi,2020-04-25,2019-10-11,TextAttack,TextAttack:2019-10-11; TextAttack:2020-10-05; TextAttack:2020-12-15,-6.5,,,,,,,,,
YES,2004.15015,MITRE ATLAS,1,Imitation Attacks and Defenses for Black-box Machine Translation Systems,Eric Wallace; Mitchell Stern; Dawn Song,2020-04-30,2021-03-16,MITRE ATLAS,MITRE ATLAS:2021-03-16,10.5,,,,,,,,,
YES,2005.00191,IBM ART,1,Bullseye Polytope: A Scalable Clean-Label Poisoning Attack with Improved Transferability,Hojjat Aghakhani; Dongyu Meng; Yu-Xiang Wang; Christopher Kruegel; Giovanni Vigna,2020-05-01,2021-03-10,IBM ART,IBM ART:2021-03-10,10.3,,,,,,,,,
YES,2005.04118,TextAttack,1,Beyond Accuracy: Behavioral Testing of NLP models with CheckList,Marco Tulio Ribeiro; Tongshuang Wu; Carlos Guestrin; Sameer Singh,2020-05-08,2019-10-11,TextAttack,TextAttack:2020-05-07; TextAttack:2020-09-01; TextAttack:2020-09-01; TextAttack:2019-10-11; TextAttack:2019-10-11; TextAttack:2021-06-17; TextAttack:2020-11-14,-6.9,,,,,,,,,
YES,2005.05909,TextAttack,1,"TextAttack: A Framework for Adversarial Attacks, Data Augmentation, and Adversarial Training in NLP",John X. Morris; Eli Lifland; Jin Yong Yoo; Jake Grigsby; Di Jin...,2020-04-29,2019-10-11,TextAttack,TextAttack:2019-10-11; TextAttack:2019-10-11; TextAttack:2020-11-14; TextAttack:2020-11-17; TextAttack:2020-10-05; TextAttack:2020-10-04,-6.6,,,,,,,,,
YES,2005.12872,IBM ART,1,End-to-End Object Detection with Transformers,Nicolas Carion; Francisco Massa; Gabriel Synnaeve; Nicolas Usunier; Alexander Kirillov...,2020-05-26,2023-03-15,IBM ART,IBM ART:2023-03-15; IBM ART:2023-06-28,33.6,,,,,,,,,
YES,2006.07682,RobustBench,1,Rethinking Clustering for Robustness,Motasem Alfarra; Juan C. Pérez; Adel Bibi; Ali Thabet; Pablo Arbeláez...,2020-06-13,2020-08-02,RobustBench,RobustBench:2020-08-02,1.6,,,,,,,,,
YES,2006.14768,IBM ART,1,Deep Partition Aggregation: Provable Defense against General Poisoning Attacks,Alexander Levine; Soheil Feizi,2020-06-26,2021-11-08,IBM ART,IBM ART:2021-11-08,16.4,,,,,,,,,
YES,2006.16241,RobustBench,1,The Many Faces of Robustness: A Critical Analysis of Out-of-Distribution Generalization,Dan Hendrycks; Steven Basart; Norman Mu; Saurav Kadavath; Frank Wang...,2020-06-29,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2021-08-28,-0.0,,,,,,,,,
YES,2007.02617,RobustBench,1,Understanding and Improving Fast Adversarial Training,Maksym Andriushchenko; Nicolas Flammarion,2020-07-06,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2021-05-13,-0.3,,,,,,,,,
